iter	Passed	Remaining
550	6042	4923
551	6052	4912
552	6062	4900
553	6073	4889
554	6083	4877
555	6094	4866
556	6104	4854
557	6114	4843
558	6125	4832
559	6135	4820
560	6146	4809
561	6156	4798
562	6166	4786
563	6178	4775
564	6188	4764
565	6199	4753
566	6209	4742
567	6219	4730
568	6229	4718
569	6238	4706
570	6248	4694
571	6257	4682
572	6266	4669
573	6276	4657
574	6285	4645
575	6295	4633
576	6303	4621
577	6312	4608
578	6322	4596
579	6331	4584
580	6342	4573
581	6352	4562
582	6363	4551
583	6374	4540
584	6383	4528
585	6392	4516
586	6402	4504
587	6411	4492
588	6420	4480
589	6430	4468
590	6439	4456
591	6449	4444
592	6457	4432
593	6467	4420
594	6477	4409
595	6487	4397
596	6496	4385
597	6507	4374
598	6518	4363
599	6527	4351
600	6538	4340
601	6548	4329
602	6558	4318
603	6568	4306
604	6578	4294
605	6587	4283
606	6597	4271
607	6606	4259
608	6616	4247
609	6625	4236
610	6635	4224
611	6644	4212
612	6654	4201
613	6663	4189
614	6674	4178
615	6684	4166
616	6693	4155
617	6703	4143
618	6713	4132
619	6724	4121
620	6734	4110
621	6745	4099
622	6754	4087
623	6764	4076
624	6774	4064
625	6783	4052
626	6793	4041
627	6802	4029
628	6812	4017
629	6821	4006
630	6830	3994
631	6840	3982
632	6849	3971
633	6860	3960
634	6870	3949
635	6881	3938
636	6890	3926
637	6901	3915
638	6911	3904
639	6920	3893
640	6930	3881
641	6940	3870
642	6949	3858
643	6959	3847
644	6969	3836
645	6979	3824
646	6988	3813
647	6998	3801
648	7007	3790
649	7017	3778
650	7026	3767
651	7038	3756
652	7047	3745
653	7062	3736
654	7072	3725
655	7084	3714
656	7095	3704
657	7105	3693
658	7114	3681
659	7124	3670
660	7134	3658
661	7143	3647
662	7153	3636
663	7163	3624
664	7173	3613
665	7182	3602
666	7192	3590
667	7202	3579
668	7211	3568
669	7221	3556
670	7231	3545
671	7241	3534
672	7258	3526
673	7268	3515
674	7278	3504
675	7287	3493
676	7297	3481
677	7306	3470
678	7317	3459
679	7326	3447
680	7336	3436
681	7345	3425
682	7355	3413
683	7365	3402
684	7375	3391
685	7384	3380
686	7394	3368
687	7403	3357
688	7416	3347
689	7426	3336
690	7437	3325
691	7447	3314
692	7456	3303
693	7467	3292
694	7477	3281
695	7487	3270
696	7496	3259
697	7506	3247
698	7516	3236
699	7526	3225
700	7538	3215
701	7547	3203
702	7557	3192
703	7566	3181
704	7576	3170
705	7586	3159
706	7596	3148
707	7613	3139
708	7627	3130
709	7637	3119
710	7646	3108
711	7656	3096
712	7666	3086
713	7677	3075
714	7687	3064
715	7696	3052
716	7707	3042
717	7717	3030
718	7726	3019
719	7736	3008
720	7745	2997
721	7755	2986
722	7765	2975
723	7775	2964
724	7786	2953
725	7797	2942
726	7807	2931
727	7817	2920
728	7827	2909
729	7837	2898
730	7847	2887
731	7857	2876
732	7868	2865
733	7877	2854
734	7886	2843
735	7895	2832
736	7905	2821
737	7915	2810
738	7926	2799
739	7937	2788
740	7946	2777
741	7958	2767
742	7969	2756
743	7980	2746
744	7994	2736
745	8004	2725
746	8015	2714
747	8025	2703
748	8037	2693
749	8047	2682
750	8057	2671
751	8068	2660
752	8078	2649
753	8088	2639
754	8099	2628
755	8109	2617
756	8120	2606
757	8134	2596
758	8143	2585
759	8152	2574
760	8165	2564
761	8174	2553
762	8185	2542
763	8195	2531
764	8204	2520
765	8215	2509
766	8225	2498
767	8237	2488
768	8246	2477
769	8259	2467
770	8270	2456
771	8283	2446
772	8296	2436
773	8306	2425
774	8317	2414
775	8328	2404
776	8340	2393
777	8351	2383
778	8365	2373
779	8376	2362
780	8389	2352
781	8404	2342
782	8415	2332
783	8426	2321
784	8442	2312
785	8453	2301
786	8464	2290
787	8475	2280
788	8487	2269
789	8498	2259
790	8508	2248
791	8519	2237
792	8529	2226
793	8542	2216
794	8552	2205
795	8567	2195
796	8578	2184
797	8589	2174
798	8604	2164
799	8614	2153
800	8625	2142
801	8636	2132
802	8648	2121
803	8659	2111
804	8676	2101
805	8688	2091
806	8698	2080
807	8714	2070
808	8726	2060
809	8737	2049
810	8749	2038
811	8760	2028
812	8773	2018
813	8784	2007
814	8795	1996
815	8812	1987
816	8824	1976
817	8834	1965
818	8849	1955
819	8860	1944
820	8872	1934
821	8884	1923
822	8895	1913
823	8906	1902
824	8918	1891
825	8929	1881
826	8941	1870
827	8953	1859
828	8965	1849
829	8976	1838
830	8990	1828
831	9001	1817
832	9013	1806
833	9025	1796
834	9037	1785
835	9054	1776
836	9068	1766
837	9082	1755
838	9093	1744
839	9104	1734
840	9117	1723
841	9129	1713
842	9140	1702
843	9153	1691
844	9164	1681
845	9175	1670
846	9189	1660
847	9200	1649
848	9211	1638
849	9222	1627
850	9232	1616
851	9243	1605
852	9252	1594
853	9262	1583
854	9272	1572
855	9282	1561
856	9293	1550
857	9303	1539
858	9316	1529
859	9328	1518
860	9340	1508
861	9357	1498
862	9368	1487
863	9379	1476
864	9390	1465
865	9402	1454
866	9413	1444
867	9423	1433
868	9434	1422
869	9445	1411
870	9455	1400
871	9465	1389
872	9475	1378
873	9485	1367
874	9496	1356
875	9506	1345
876	9515	1334
877	9525	1323
878	9534	1312
879	9544	1301
880	9553	1290
881	9562	1279
882	9572	1268
883	9582	1257
884	9592	1246
885	9603	1235
886	9615	1224
887	9625	1214
888	9639	1203
889	9649	1192
890	9661	1181
891	9672	1171
892	9682	1160
893	9692	1149
894	9703	1138
895	9714	1127
896	9724	1116
897	9738	1106
898	9749	1095
899	9759	1084
900	9770	1073
901	9780	1062
902	9790	1051
903	9800	1040
904	9809	1029
905	9818	1018
906	9829	1007
907	9839	996
908	9849	986
909	9859	975
910	9869	964
911	9878	953
912	9887	942
913	9897	931
914	9907	920
915	9916	909
916	9926	898
917	9936	887
918	9946	876
919	9956	865
920	9966	854
921	9975	843
922	9985	833
923	9994	822
924	10006	811
925	10017	800
926	10027	789
927	10037	778
928	10047	767
929	10057	756
930	10067	746
931	10077	735
932	10087	724
933	10098	713
934	10108	702
935	10119	691
936	10129	681
937	10140	670
938	10151	659
939	10161	648
940	10171	637
941	10181	626
942	10191	616
943	10202	605
944	10213	594
945	10223	583
946	10233	572
947	10242	561
948	10253	551
949	10262	540
950	10274	529
951	10285	518
952	10294	507
953	10306	496
954	10317	486
955	10327	475
956	10339	464
957	10348	453
958	10358	442
959	10372	432
960	10382	421
961	10393	410
962	10404	399
963	10414	388
964	10423	378
965	10434	367
966	10444	356
967	10454	345
968	10465	334
969	10475	323
970	10485	313
971	10495	302
972	10506	291
973	10516	280
974	10525	269
975	10536	259
976	10546	248
977	10557	237
978	10567	226
979	10577	215
980	10588	205
981	10598	194
982	10608	183
983	10618	172
984	10628	161
985	10638	151
986	10648	140
987	10659	129
988	10669	118
989	10679	107
990	10689	97
991	10699	86
992	10710	75
993	10722	64
994	10732	53
995	10742	43
996	10754	32
997	10764	21
998	10774	10
999	10783	0
